1 5 6 7 8
1 6 9 10 7
1 9 11 12 10
1 11 13 14 12
1 13 15 16 14
1 8 7 17 18
1 7 10 19 17
1 10 12 20 19
1 12 14 21 20
1 14 16 22 21
1 18 17 23 24
1 17 19 25 23
1 19 20 26 25
1 20 21 27 26
1 21 22 28 27
1 24 23 29 30
1 23 25 31 29
1 25 26 32 31
1 26 27 33 32
1 27 28 34 33
1 30 29 35 36
1 29 31 37 35
1 31 32 38 37
1 32 33 39 38
1 33 34 40 39
1 36 35 41 42
1 35 37 43 41
1 37 38 44 43
1 38 39 45 44
1 39 40 46 45
1 42 41 47 48
1 41 43 49 47
1 43 44 50 49
1 44 45 51 50
1 45 46 52 51
1 48 47 53 54
1 47 49 55 53
1 49 50 56 55
1 50 51 57 56
1 51 52 58 57
1 54 53 59 60
1 53 55 61 59
1 55 56 62 61
1 56 57 63 62
1 57 58 64 63
1 60 59 65 66
1 59 61 67 65
1 61 62 68 67
1 62 63 69 68
1 63 64 70 69
1 66 65 71 72
1 65 67 73 71
1 67 68 74 73
1 68 69 75 74
1 69 70 76 75
1 72 71 77 78
1 71 73 79 77
1 73 74 80 79
1 74 75 81 80
1 75 76 82 81
1 78 77 83 84
1 77 79 85 83
1 79 80 86 85
1 80 81 87 86
1 81 82 88 87
1 84 83 89 90
1 83 85 91 89
1 85 86 92 91
1 86 87 93 92
1 87 88 94 93
1 90 89 95 96
1 89 91 97 95
1 91 92 98 97
1 92 93 99 98
1 93 94 100 99
1 96 95 101 102
1 95 97 103 101
1 97 98 104 103
1 98 99 105 104
1 99 100 106 105
1 102 101 107 108
1 101 103 109 107
1 103 104 110 109
1 104 105 111 110
1 105 106 112 111
1 108 107 113 114
1 107 109 115 113
1 109 110 116 115
1 110 111 117 116
1 111 112 118 117
1 114 113 119 120
1 113 115 121 119
1 115 116 122 121
1 116 117 123 122
1 117 118 124 123
1 120 119 125 126
1 119 121 127 125
1 121 122 128 127
1 122 123 129 128
1 123 124 130 129
1 126 125 131 132
1 125 127 133 131
1 127 128 134 133
1 128 129 135 134
1 129 130 136 135
1 132 131 137 138
1 131 133 139 137
1 133 134 140 139
1 134 135 141 140
1 135 136 142 141
1 138 137 143 144
1 137 139 145 143
1 139 140 146 145
1 140 141 147 146
1 141 142 148 147
1 144 143 149 150
1 143 145 151 149
1 145 146 152 151
1 146 147 153 152
1 147 148 154 153
1 150 149 155 156
1 149 151 157 155
1 151 152 158 157
1 152 153 159 158
1 153 154 160 159
