0. 0. 0.
250. 0. 0.
250. 50. 0.
0. 50. 0.
0. 50. 0.
0. 40. 0.
10. 40. 0.
10. 50. 0.
0. 30. 0.
10. 30. 0.
0. 20. 0.
10. 20. 0.
0. 10. 0.
10. 10. 0.
0. 0. 0.
10. 0. 0.
20. 40. 0.
20. 50. 0.
20. 30. 0.
20. 20. 0.
20. 10. 0.
20. 0. 0.
30. 40. 0.
30. 50. 0.
30. 30. 0.
30. 20. 0.
30. 10. 0.
30. 0. 0.
40. 40. 0.
40. 50. 0.
40. 30. 0.
40. 20. 0.
40. 10. 0.
40. 0. 0.
50. 40. 0.
50. 50. 0.
50. 30. 0.
50. 20. 0.
50. 10. 0.
50. 0. 0.
60. 40. 0.
60. 50. 0.
60. 30. 0.
60. 20. 0.
60. 10. 0.
60. 0. 0.
70. 40. 0.
70. 50. 0.
70. 30. 0.
70. 20. 0.
70. 10. 0.
70. 0. 0.
80. 40. 0.
80. 50. 0.
80. 30. 0.
80. 20. 0.
80. 10. 0.
80. 0. 0.
90. 40. 0.
90. 50. 0.
90. 30. 0.
90. 20. 0.
90. 10. 0.
90. 0. 0.
100. 40. 0.
100. 50. 0.
100. 30. 0.
100. 20. 0.
100. 10. 0.
100. 0. 0.
110. 40. 0.
110. 50. 0.
110. 30. 0.
110. 20. 0.
110. 10. 0.
110. 0. 0.
120. 40. 0.
120. 50. 0.
120. 30. 0.
120. 20. 0.
120. 10. 0.
120. 0. 0.
130. 40. 0.
130. 50. 0.
130. 30. 0.
130. 20. 0.
130. 10. 0.
130. 0. 0.
140. 40. 0.
140. 50. 0.
140. 30. 0.
140. 20. 0.
140. 10. 0.
140. 0. 0.
150. 40. 0.
150. 50. 0.
150. 30. 0.
150. 20. 0.
150. 10. 0.
150. 0. 0.
160. 40. 0.
160. 50. 0.
160. 30. 0.
160. 20. 0.
160. 10. 0.
160. 0. 0.
170. 40. 0.
170. 50. 0.
170. 30. 0.
170. 20. 0.
170. 10. 0.
170. 0. 0.
180. 40. 0.
180. 50. 0.
180. 30. 0.
180. 20. 0.
180. 10. 0.
180. 0. 0.
190. 40. 0.
190. 50. 0.
190. 30. 0.
190. 20. 0.
190. 10. 0.
190. 0. 0.
200. 40. 0.
200. 50. 0.
200. 30. 0.
200. 20. 0.
200. 10. 0.
200. 0. 0.
210. 40. 0.
210. 50. 0.
210. 30. 0.
210. 20. 0.
210. 10. 0.
210. 0. 0.
220. 40. 0.
220. 50. 0.
220. 30. 0.
220. 20. 0.
220. 10. 0.
220. 0. 0.
230. 40. 0.
230. 50. 0.
230. 30. 0.
230. 20. 0.
230. 10. 0.
230. 0. 0.
240. 40. 0.
240. 50. 0.
240. 30. 0.
240. 20. 0.
240. 10. 0.
240. 0. 0.
250. 40. 0.
250. 50. 0.
250. 30. 0.
250. 20. 0.
250. 10. 0.
250. 0. 0.
